WrapperSubsetEval(KStar)-PSOSearch	NMETS_5_UTR,LOST_METS_IN_5_UTR,CONSERVED_METS_NO_STOP_IN_5_UTR,READING_FRAME_STATUS,STOP_CODON_POSITION,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(KStar)-BestFirst	LOST_METS_IN_5_UTR,CODON_CHANGE,STOP_CODON_POSITION,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(KStar)-MultiObjectiveEvolutionarySearch	LOST_METS_IN_5_UTR,CODON_CHANGE,STOP_CODON_POSITION,MUTATED_SEQUENCE_LENGTH,CLASS,
CfsSubsetEval-GreedyStepwise	NMETS_5_UTR,LOST_METS_IN_5_UTR,CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(LibSVM)-GreedyStepwise	MET_POSITION,READING_FRAME_STATUS,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(PART)-PSOSearch	LOST_METS_IN_5_UTR,CDS_COORDS,AMINOACID_CHANGE,CODON_CHANGE,READING_FRAME_STATUS,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(BayesNet)-GreedyStepwise	CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(J48)-BestFirst	NMETS_5_UTR,STOP_CODON_POSITION,CLASS,
WrapperSubsetEval(BayesNet)-MultiObjectiveEvolutionarySearch	LOST_METS_IN_5_UTR,CDS_COORDS,CODON_CHANGE,READING_FRAME_STATUS,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(BayesNet)-BestFirst	CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
CfsSubsetEval-MultiObjectiveEvolutionarySearch	NMETS_5_UTR,LOST_METS_IN_5_UTR,CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(J48)-PSOSearch	NMETS_5_UTR,CONSERVED_METS_IN_5_UTR,CDS_COORDS,MET_POSITION,READING_FRAME_STATUS,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(BayesNet)-PSOSearch	CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
CfsSubsetEval-PSOSearch	NMETS_5_UTR,LOST_METS_IN_5_UTR,CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(LibSVM)-PSOSearch	MET_POSITION,READING_FRAME_STATUS,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(J48)-GreedyStepwise	NMETS_5_UTR,STOP_CODON_POSITION,CLASS,
WrapperSubsetEval(LibSVM)-MultiObjectiveEvolutionarySearch	CONSERVED_METS_NO_STOP_IN_5_UTR,CDS_COORDS,MET_POSITION,READING_FRAME_STATUS,MUTATED_SEQUENCE_LENGTH,CLASS,
CfsSubsetEval-BestFirst	NMETS_5_UTR,LOST_METS_IN_5_UTR,CODON_CHANGE,PREMATURE_STOP_CODON,CLASS,
WrapperSubsetEval(PART)-GreedyStepwise	NMETS_5_UTR,CONSERVED_METS_IN_5_UTR,STOP_CODON_POSITION,CLASS,
WrapperSubsetEval(KStar)-GreedyStepwise	LOST_METS_IN_5_UTR,CODON_CHANGE,STOP_CODON_POSITION,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(LibSVM)-BestFirst	CONSERVED_METS_NO_STOP_IN_5_UTR,CDS_COORDS,MET_POSITION,READING_FRAME_STATUS,MUTATED_SEQUENCE_LENGTH,CLASS,
WrapperSubsetEval(PART)-MultiObjectiveEvolutionarySearch	NMETS_5_UTR,CONSERVED_METS_IN_5_UTR,MET_POSITION,READING_FRAME_STATUS,CLASS,
WrapperSubsetEval(PART)-BestFirst	NMETS_5_UTR,CONSERVED_METS_IN_5_UTR,STOP_CODON_POSITION,CLASS,
WrapperSubsetEval(J48)-MultiObjectiveEvolutionarySearch	NMETS_5_UTR,CONSERVED_METS_IN_5_UTR,MET_POSITION,READING_FRAME_STATUS,CLASS,
