@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,11-12,14'

@attribute LOST_METS_IN_5_UTR numeric
@attribute CONSERVED_METS_NO_STOP_IN_5_UTR numeric
@attribute CDS_COORDS {'[1, 1]','[2, 2]','[3, 3]'}
@attribute MET_POSITION numeric
@attribute READING_FRAME_STATUS {Lost,Maintained}
@attribute PREMATURE_STOP_CODON {'',NO,YES}
@attribute STOP_CODON_POSITION numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
1,0,'[1, 1]',3,Maintained,NO,4200,BENIGN
6,0,'[1, 1]',51,Maintained,NO,861,BENIGN
8,0,'[2, 2]',120,Maintained,NO,1245,BENIGN
4,0,'[2, 2]',328,Lost,YES,382,BENIGN
1,0,'[1, 1]',3,Maintained,NO,4200,BENIGN
4,0,'[3, 3]',142,Lost,YES,151,BENIGN
10,0,'[1, 1]',60,Maintained,NO,417,BENIGN
0,0,'[1, 1]',60,Maintained,NO,1848,BENIGN
2,0,'[2, 2]',393,Maintained,NO,822,BENIGN
1,0,'[1, 1]',21,Maintained,NO,2415,BENIGN
6,0,'[1, 1]',51,Maintained,NO,576,BENIGN
2,1,'[1, 1]',88,Lost,YES,106,BENIGN
0,0,'[2, 2]',157,Lost,YES,289,BENIGN
3,0,'[1, 1]',6,Maintained,NO,2022,BENIGN
0,0,'[2, 2]',7,Lost,YES,13,BENIGN
1,0,'[3, 3]',57,Maintained,NO,1479,BENIGN
0,0,'[2, 2]',333,Maintained,NO,1614,BENIGN
0,0,'[2, 2]',81,Maintained,NO,1158,BENIGN
1,0,'[2, 2]',259,Lost,YES,331,BENIGN
3,0,'[1, 1]',168,Maintained,NO,1023,BENIGN
0,0,'[2, 2]',81,Maintained,NO,1014,BENIGN
0,0,'[2, 2]',126,Maintained,NO,1755,BENIGN
8,0,'[2, 2]',496,Lost,YES,568,BENIGN
6,0,'[1, 1]',51,Maintained,NO,1146,BENIGN
4,0,'[2, 2]',121,Lost,YES,166,BENIGN
