@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,9,12-14'

@attribute NMETS_5_UTR numeric
@attribute LOST_METS_IN_5_UTR numeric
@attribute CONSERVED_METS_NO_STOP_IN_5_UTR numeric
@attribute READING_FRAME_STATUS {Lost,Maintained}
@attribute STOP_CODON_POSITION numeric
@attribute MUTATED_SEQUENCE_LENGTH numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
0,0,0,Lost,301,3.592814,BENIGN
1,1,0,Maintained,726,92.18107,BENIGN
2,2,0,Maintained,1467,73.469388,BENIGN
1,0,0,Maintained,3123,99.712092,BENIGN
0,0,0,Lost,160,5.833333,BENIGN
0,0,0,Lost,3297,100,BENIGN
5,4,0,Maintained,2601,85.253456,BENIGN
0,0,0,Lost,425,4.285714,BENIGN
0,0,0,Maintained,1281,99.299065,BENIGN
0,0,0,Lost,478,55.813953,BENIGN
0,0,0,Lost,790,4.329897,BENIGN
48,31,0,Lost,43,2.192982,BENIGN
2,2,0,Maintained,1281,99.299065,BENIGN
30,22,0,Lost,832,1.478495,BENIGN
6,6,0,Maintained,822,50.909091,BENIGN
5,5,0,Lost,28,4.724409,BENIGN
7,4,0,Maintained,822,50.909091,BENIGN
6,6,0,Maintained,822,50.909091,BENIGN
0,0,0,Lost,202,15.862069,BENIGN
3,2,0,Lost,340,7.860262,BENIGN
5,5,0,Lost,28,4.545455,BENIGN
0,0,0,Maintained,912,96.721311,BENIGN
0,0,0,Maintained,1755,92.832765,BENIGN
0,0,0,Maintained,765,94.921875,BENIGN
3,2,0,Maintained,810,99.261993,BENIGN
0,0,0,Lost,91,3.494624,BENIGN
0,0,0,Lost,13,0.9375,BENIGN
6,2,0,Lost,478,45,BENIGN
0,0,0,Maintained,1014,92.035398,BENIGN
0,0,0,Lost,188,8.921162,BENIGN
0,0,0,Maintained,1281,99.299065,BENIGN
1,1,0,Maintained,594,90.452261,BENIGN
0,0,0,Maintained,1614,79.406308,BENIGN
0,0,0,Lost,289,2.176015,BENIGN
0,0,0,Maintained,1254,99.761337,BENIGN
14,11,0,Maintained,1263,99.763033,BENIGN
0,0,0,Maintained,1281,99.299065,BENIGN
5,3,2,Lost,424,69.090909,BENIGN
1,1,0,Maintained,816,87.912088,BENIGN
0,0,0,Maintained,708,92.827004,BENIGN
0,0,0,Maintained,765,94.921875,BENIGN
0,0,0,Lost,289,2.034358,BENIGN
4,4,0,Lost,166,17.582418,BENIGN
1,1,0,Lost,331,5.070994,BENIGN
2,1,0,Maintained,492,73.333333,BENIGN
0,0,0,Maintained,1254,94.272076,BENIGN
9,6,0,Maintained,423,88.028169,BENIGN
2,2,0,Lost,61,1.004016,BENIGN
6,2,0,Lost,359,25.358852,BENIGN
0,0,0,Lost,91,2.974828,BENIGN
0,0,0,Maintained,1281,99.299065,BENIGN
4,2,0,Maintained,1116,84.718499,BENIGN
1,1,0,Maintained,5331,99.606299,BENIGN
20,14,0,Lost,238,9.322034,BENIGN
0,0,0,Maintained,4557,91.381579,BENIGN
0,0,0,Lost,34,0.724638,BENIGN
1,1,0,Maintained,2244,99.065421,BENIGN
13,10,0,Lost,133,0.623053,BENIGN
0,0,0,Lost,316,5.422993,BENIGN
0,0,0,Maintained,1887,96.825397,BENIGN
1,1,0,Lost,122,1.963534,BENIGN
6,5,0,Lost,70,5.415162,BENIGN
0,0,0,Maintained,1281,99.299065,BENIGN
1,1,0,Lost,169,7.352941,BENIGN
0,0,0,Lost,238,2.427184,BENIGN
1,1,0,Lost,85,1.2,BENIGN
0,0,0,Maintained,1704,93.14587,BENIGN
0,0,0,Lost,673,6.70194,BENIGN
9,7,0,Lost,188,8.921162,BENIGN
11,11,0,Lost,61,6.751055,BENIGN
0,0,0,Maintained,1692,96.460177,BENIGN
0,0,0,Lost,202,15.862069,BENIGN
3,1,0,Maintained,4200,99.928622,BENIGN
1,0,0,Lost,310,1.731602,BENIGN
0,0,0,Lost,790,4.329897,BENIGN
0,0,0,Maintained,993,99.39759,BENIGN
12,10,0,Maintained,2454,95.238095,BENIGN
5,5,0,Lost,28,0.738007,BENIGN
2,2,0,Maintained,1281,99.299065,BENIGN
12,10,0,Maintained,417,85.714286,BENIGN
10,8,0,Maintained,2319,99.095607,BENIGN
1,1,0,Maintained,720,45.643154,BENIGN
1,1,0,Lost,40,0.509338,BENIGN
9,6,0,Maintained,726,93.004115,BENIGN
9,6,0,Maintained,1146,95.561358,BENIGN
2,2,0,Maintained,1281,99.299065,BENIGN
6,3,0,Maintained,2022,99.703704,BENIGN
0,0,0,Maintained,300,73.267327,BENIGN
4,1,0,Maintained,65,1.123596,BENIGN
3,2,0,Maintained,822,52.363636,BENIGN
7,3,0,Lost,478,45,BENIGN
0,0,0,Lost,229,1.675258,BENIGN
9,6,0,Maintained,2196,65.347885,BENIGN
12,10,0,Maintained,2454,95.238095,BENIGN
2,2,0,Lost,238,9.322034,BENIGN
1,1,0,Maintained,3015,99.304175,BENIGN
7,4,0,Maintained,822,50.909091,BENIGN
0,0,0,Lost,395,37.254902,BENIGN
