@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1-2,12,14'

@attribute NMETS_5_UTR numeric
@attribute CONSERVED_METS_IN_5_UTR numeric
@attribute STOP_CODON_POSITION numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
0,0,301,BENIGN
1,0,726,BENIGN
2,0,1467,BENIGN
1,1,3123,BENIGN
0,0,160,BENIGN
0,0,3297,BENIGN
5,1,2601,BENIGN
0,0,425,BENIGN
0,0,1281,BENIGN
0,0,478,BENIGN
0,0,790,BENIGN
48,17,43,BENIGN
2,0,1281,BENIGN
30,8,832,BENIGN
6,0,822,BENIGN
5,0,28,BENIGN
7,3,822,BENIGN
6,0,822,BENIGN
0,0,202,BENIGN
3,1,340,BENIGN
5,0,28,BENIGN
0,0,912,BENIGN
0,0,1755,BENIGN
0,0,765,BENIGN
3,1,810,BENIGN
0,0,91,BENIGN
0,0,13,BENIGN
6,4,478,BENIGN
0,0,1014,BENIGN
0,0,188,BENIGN
0,0,1281,BENIGN
1,0,594,BENIGN
0,0,1614,BENIGN
0,0,289,BENIGN
0,0,1254,BENIGN
14,3,1263,BENIGN
0,0,1281,BENIGN
5,2,424,BENIGN
1,0,816,BENIGN
0,0,708,BENIGN
0,0,765,BENIGN
0,0,289,BENIGN
4,0,166,BENIGN
1,0,331,BENIGN
2,1,492,BENIGN
0,0,1254,BENIGN
9,3,423,BENIGN
2,0,61,BENIGN
6,4,359,BENIGN
0,0,91,BENIGN
0,0,1281,BENIGN
4,2,1116,BENIGN
1,0,5331,BENIGN
20,6,238,BENIGN
0,0,4557,BENIGN
0,0,34,BENIGN
1,0,2244,BENIGN
13,3,133,BENIGN
0,0,316,BENIGN
0,0,1887,BENIGN
1,0,122,BENIGN
6,1,70,BENIGN
0,0,1281,BENIGN
1,0,169,BENIGN
0,0,238,BENIGN
1,0,85,BENIGN
0,0,1704,BENIGN
0,0,673,BENIGN
9,2,188,BENIGN
11,0,61,BENIGN
0,0,1692,BENIGN
0,0,202,BENIGN
3,2,4200,BENIGN
1,1,310,BENIGN
0,0,790,BENIGN
0,0,993,BENIGN
12,2,2454,BENIGN
5,0,28,BENIGN
2,0,1281,BENIGN
12,2,417,BENIGN
10,2,2319,BENIGN
1,0,720,BENIGN
1,0,40,BENIGN
9,3,726,BENIGN
9,3,1146,BENIGN
2,0,1281,BENIGN
6,3,2022,BENIGN
0,0,300,BENIGN
4,3,65,BENIGN
3,1,822,BENIGN
7,4,478,BENIGN
0,0,229,BENIGN
9,3,2196,BENIGN
12,2,2454,BENIGN
2,0,238,BENIGN
1,0,3015,BENIGN
7,3,822,BENIGN
0,0,395,BENIGN
1,1,333,BENIGN
2,1,2190,BENIGN
6,1,43,BENIGN
0,0,912,BENIGN
6,3,2022,BENIGN
1,0,3225,BENIGN
0,0,1281,BENIGN
2,1,202,BENIGN
2,0,1068,BENIGN
10,2,568,BENIGN
3,1,106,BENIGN
0,0,390,BENIGN
1,0,2415,BENIGN
1,1,741,BENIGN
1,0,331,BENIGN
0,0,148,BENIGN
2,1,1479,BENIGN
10,2,1245,BENIGN
0,0,4557,BENIGN
4,0,148,BENIGN
5,1,151,BENIGN
9,3,1128,BENIGN
3,2,4200,BENIGN
1,0,181,BENIGN
0,0,301,BENIGN
0,0,987,BENIGN
1,0,987,BENIGN
2,0,987,BENIGN
0,0,807,BENIGN
9,3,576,BENIGN
1,0,85,BENIGN
5,0,349,BENIGN
3,2,1212,BENIGN
1,0,265,BENIGN
3,0,199,BENIGN
1,0,4509,BENIGN
0,0,1390,BENIGN
3,1,343,BENIGN
0,0,1848,BENIGN
9,3,423,BENIGN
9,3,861,BENIGN
3,0,1023,BENIGN
11,1,70,BENIGN
0,0,1539,BENIGN
2,1,190,BENIGN
2,1,202,BENIGN
9,0,376,BENIGN
0,0,1158,BENIGN
3,1,337,BENIGN
0,0,199,BENIGN
1,1,555,BENIGN
9,3,1146,BENIGN
5,1,43,BENIGN
1,0,31,BENIGN
0,0,247,BENIGN
1,0,214,BENIGN
0,0,1488,BENIGN
6,0,76,BENIGN
9,3,1128,BENIGN
9,3,576,BENIGN
6,4,359,BENIGN
5,1,382,BENIGN
0,0,1731,BENIGN
10,2,2112,BENIGN
1,1,478,BENIGN
0,0,708,BENIGN
2,0,984,BENIGN
15,5,157,BENIGN
2,0,414,BENIGN
9,3,861,BENIGN
2,0,133,BENIGN
0,0,247,BENIGN
0,0,359,BENIGN
9,3,726,BENIGN
10,2,568,BENIGN
0,0,457,BENIGN
0,0,939,BENIGN
2,0,238,BENIGN
0,0,515,BENIGN
0,0,318,BENIGN
0,0,277,BENIGN
5,0,2106,BENIGN
2,0,217,BENIGN
8,1,286,BENIGN
4,1,2010,BENIGN
5,1,609,BENIGN
8,1,121,BENIGN
3,0,768,BENIGN
14,5,295,DELETERIOUS
3,0,1290,DELETERIOUS
0,0,185,DELETERIOUS
0,0,95,DELETERIOUS
2,0,277,DELETERIOUS
39,12,55,DELETERIOUS
1,1,295,DELETERIOUS
3,0,280,DELETERIOUS
1,1,25,DELETERIOUS
4,2,193,DELETERIOUS
0,0,741,DELETERIOUS
0,0,149,DELETERIOUS
0,0,109,DELETERIOUS
0,0,954,DELETERIOUS
3,0,3294,DELETERIOUS
0,0,3174,DELETERIOUS
3,1,64,DELETERIOUS
1,0,43,DELETERIOUS
2,2,295,DELETERIOUS
0,0,208,DELETERIOUS
1,0,118,DELETERIOUS
0,0,179,DELETERIOUS
3,2,2958,DELETERIOUS
2,0,127,DELETERIOUS
4,0,382,DELETERIOUS
0,0,492,DELETERIOUS
0,0,208,DELETERIOUS
3,1,262,DELETERIOUS
2,0,262,DELETERIOUS
0,0,1041,DELETERIOUS
1,0,640,DELETERIOUS
0,0,167,DELETERIOUS
0,0,1977,DELETERIOUS
1,1,1257,DELETERIOUS
0,0,197,DELETERIOUS
1,0,2814,DELETERIOUS
1,0,197,DELETERIOUS
0,0,382,DELETERIOUS
1,1,20,DELETERIOUS
0,0,124,DELETERIOUS
14,3,1077,DELETERIOUS
2,1,327,DELETERIOUS
0,0,367,DELETERIOUS
5,1,2574,DELETERIOUS
1,1,295,DELETERIOUS
0,0,451,DELETERIOUS
0,0,376,DELETERIOUS
4,0,299,DELETERIOUS
1,1,385,DELETERIOUS
0,0,1584,DELETERIOUS
0,0,197,DELETERIOUS
2,0,86,DELETERIOUS
1,1,1470,DELETERIOUS
0,0,175,DELETERIOUS
0,0,163,DELETERIOUS
1,0,555,DELETERIOUS
3,2,112,DELETERIOUS
0,0,208,DELETERIOUS
0,0,196,DELETERIOUS
5,0,202,DELETERIOUS
1,0,1665,DELETERIOUS
0,0,211,DELETERIOUS
1,0,200,DELETERIOUS
0,0,945,DELETERIOUS
1,1,420,DELETERIOUS
1,0,1134,DELETERIOUS
0,0,640,DELETERIOUS
0,0,411,DELETERIOUS
0,0,301,DELETERIOUS
0,0,979,DELETERIOUS
0,0,559,DELETERIOUS
10,1,696,DELETERIOUS
6,5,5160,DELETERIOUS
0,0,864,DELETERIOUS
9,6,537,DELETERIOUS
2,0,41,DELETERIOUS
0,0,2973,DELETERIOUS
0,0,321,DELETERIOUS
1,0,336,DELETERIOUS
1,1,106,DELETERIOUS
3,0,5964,DELETERIOUS
2,2,1044,DELETERIOUS
0,0,379,DELETERIOUS
3,2,247,DELETERIOUS
2,0,1890,DELETERIOUS
4,1,139,DELETERIOUS
0,0,178,DELETERIOUS
0,0,379,DELETERIOUS
2,0,1218,DELETERIOUS
0,0,511,DELETERIOUS
0,0,1197,DELETERIOUS
1,0,694,DELETERIOUS
0,0,241,DELETERIOUS
1,0,423,DELETERIOUS
0,0,666,DELETERIOUS
0,0,53,DELETERIOUS
0,0,223,DELETERIOUS
0,0,160,DELETERIOUS
3,0,2382,DELETERIOUS
7,3,296,DELETERIOUS
1,0,723,DELETERIOUS
18,7,1011,DELETERIOUS
9,1,2418,DELETERIOUS
26,18,1248,DELETERIOUS
0,0,213,DELETERIOUS
0,0,142,DELETERIOUS
1,1,247,DELETERIOUS
0,0,77,DELETERIOUS
0,0,430,DELETERIOUS
1,0,2169,DELETERIOUS
0,0,903,DELETERIOUS
0,0,477,DELETERIOUS
0,0,1197,DELETERIOUS
0,0,3366,DELETERIOUS
0,0,31,DELETERIOUS
2,1,230,DELETERIOUS
1,0,217,DELETERIOUS
0,0,1236,DELETERIOUS
0,0,1314,DELETERIOUS
1,0,840,DELETERIOUS
6,2,562,DELETERIOUS
0,0,35,DELETERIOUS
3,0,529,DELETERIOUS
0,0,502,DELETERIOUS
4,0,94,DELETERIOUS
1,0,103,DELETERIOUS
0,0,181,DELETERIOUS
0,0,1167,DELETERIOUS
1,1,59,DELETERIOUS
3,1,382,DELETERIOUS
0,0,451,DELETERIOUS
0,0,226,DELETERIOUS
4,2,262,DELETERIOUS
1,0,2091,DELETERIOUS
5,4,876,DELETERIOUS
0,0,300,DELETERIOUS
2,0,550,DELETERIOUS
0,0,320,DELETERIOUS
1,0,862,DELETERIOUS
0,0,77,DELETERIOUS
0,0,276,DELETERIOUS
4,3,523,DELETERIOUS
1,1,426,DELETERIOUS
2,0,280,DELETERIOUS
2,1,133,DELETERIOUS
3,1,1173,DELETERIOUS
2,0,103,DELETERIOUS
1,0,2892,DELETERIOUS
6,6,67,DELETERIOUS
1,0,25,DELETERIOUS
0,0,2079,DELETERIOUS
0,0,1302,DELETERIOUS
3,1,203,DELETERIOUS
0,0,160,DELETERIOUS
0,0,245,DELETERIOUS
3,0,149,DELETERIOUS
4,1,418,DELETERIOUS
12,5,1302,DELETERIOUS
4,1,25,DELETERIOUS
10,3,94,DELETERIOUS
0,0,546,DELETERIOUS
4,1,382,DELETERIOUS
0,0,199,DELETERIOUS
9,2,730,DELETERIOUS
0,0,97,DELETERIOUS
0,0,927,DELETERIOUS
1,1,712,DELETERIOUS
0,0,182,DELETERIOUS
0,0,294,DELETERIOUS
0,0,67,DELETERIOUS
2,0,382,DELETERIOUS
0,0,167,DELETERIOUS
0,0,1530,DELETERIOUS
1,0,166,DELETERIOUS
0,0,103,DELETERIOUS
3,1,1773,DELETERIOUS
5,1,250,DELETERIOUS
0,0,211,DELETERIOUS
5,2,88,DELETERIOUS
0,0,190,DELETERIOUS
10,3,1095,DELETERIOUS
2,0,262,DELETERIOUS
0,0,352,DELETERIOUS
0,0,199,DELETERIOUS
0,0,957,DELETERIOUS
2,0,166,DELETERIOUS
