@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1,8,10,14'

@attribute NMETS_5_UTR numeric
@attribute MET_POSITION numeric
@attribute NO_STOP_CODON {'',NO,YES}
@attribute CLASS {BENIGN,DELETERIOUS}

@data
3,3,NO,BENIGN
9,51,NO,BENIGN
10,120,NO,BENIGN
5,328,NO,BENIGN
3,3,NO,BENIGN
5,142,NO,BENIGN
12,60,NO,BENIGN
0,60,NO,BENIGN
3,393,NO,BENIGN
1,21,NO,BENIGN
9,51,NO,BENIGN
3,88,NO,BENIGN
0,157,NO,BENIGN
6,6,NO,BENIGN
0,7,NO,BENIGN
2,57,NO,BENIGN
0,333,NO,BENIGN
0,81,NO,BENIGN
1,259,NO,BENIGN
3,168,NO,BENIGN
0,81,NO,BENIGN
0,126,NO,BENIGN
10,496,NO,BENIGN
9,51,NO,BENIGN
4,121,NO,BENIGN
3,322,NO,BENIGN
3,235,NO,BENIGN
1,259,NO,BENIGN
1,79,NO,BENIGN
0,9,NO,BENIGN
0,0,NO,BENIGN
1,28,NO,BENIGN
0,30,NO,BENIGN
1,142,NO,BENIGN
10,21,NO,BENIGN
2,172,NO,BENIGN
0,154,NO,BENIGN
6,7,NO,BENIGN
1,21,NO,BENIGN
1,276,NO,BENIGN
9,51,NO,BENIGN
3,307,NO,BENIGN
0,250,NO,BENIGN
0,136,NO,BENIGN
3,34,NO,BENIGN
0,60,NO,BENIGN
2,396,NO,BENIGN
1,192,NO,BENIGN
12,117,NO,BENIGN
15,115,NO,BENIGN
0,193,NO,BENIGN
2,31,NO,BENIGN
6,28,NO,BENIGN
1,24,NO,BENIGN
1,82,NO,BENIGN
0,667,NO,BENIGN
0,396,NO,BENIGN
0,154,NO,BENIGN
1,83,NO,BENIGN
1,57,NO,BENIGN
1,384,NO,BENIGN
1,99,NO,BENIGN
1,21,NO,BENIGN
6,211,NO,BENIGN
1,21,NO,BENIGN
0,60,NO,BENIGN
3,6,NO,BENIGN
4,62,NO,BENIGN
0,284,NO,BENIGN
2,49,NO,BENIGN
1,9,NO,BENIGN
7,405,NO,BENIGN
0,1096,NO,BENIGN
9,51,NO,BENIGN
2,151,NO,BENIGN
0,753,NO,BENIGN
0,117,NO,BENIGN
0,175,NO,BENIGN
5,384,NO,BENIGN
0,250,NO,BENIGN
0,143,NO,BENIGN
0,667,NO,BENIGN
1,82,NO,BENIGN
5,13,NO,BENIGN
0,562,NO,BENIGN
14,3,NO,BENIGN
5,199,NO,BENIGN
0,30,NO,BENIGN
2,151,NO,BENIGN
0,6,NO,BENIGN
0,3,NO,BENIGN
2,130,NO,BENIGN
13,130,NO,BENIGN
5,31,NO,BENIGN
10,496,NO,BENIGN
8,76,NO,BENIGN
7,211,NO,BENIGN
1,142,NO,BENIGN
1,57,NO,BENIGN
4,1395,NO,BENIGN
0,9,NO,BENIGN
6,6,NO,BENIGN
9,51,NO,BENIGN
0,175,NO,BENIGN
10,21,NO,BENIGN
1,396,NO,BENIGN
0,81,NO,BENIGN
11,16,NO,BENIGN
1,211,NO,BENIGN
0,9,NO,BENIGN
0,60,NO,BENIGN
9,51,NO,BENIGN
2,132,NO,BENIGN
2,9,NO,BENIGN
2,160,NO,BENIGN
0,9,NO,BENIGN
5,90,NO,BENIGN
1,34,NO,BENIGN
0,393,NO,BENIGN
9,62,NO,BENIGN
3,597,NO,BENIGN
1,393,NO,BENIGN
0,439,NO,BENIGN
12,117,NO,BENIGN
2,138,NO,BENIGN
0,136,NO,BENIGN
2,9,NO,BENIGN
0,79,NO,BENIGN
9,762,NO,BENIGN
0,72,NO,BENIGN
2,132,NO,BENIGN
8,184,NO,BENIGN
4,171,NO,BENIGN
0,169,NO,BENIGN
9,51,NO,BENIGN
0,51,NO,BENIGN
0,75,NO,BENIGN
6,44,NO,BENIGN
9,51,NO,BENIGN
9,51,NO,BENIGN
0,497,NO,BENIGN
1,21,NO,BENIGN
9,51,NO,BENIGN
2,390,NO,BENIGN
6,405,NO,BENIGN
0,393,NO,BENIGN
0,55,NO,BENIGN
0,75,NO,BENIGN
0,55,NO,BENIGN
5,13,NO,BENIGN
2,142,NO,BENIGN
11,28,NO,BENIGN
0,410,NO,BENIGN
0,9,NO,BENIGN
9,349,NO,BENIGN
0,51,NO,BENIGN
30,604,NO,BENIGN
0,62,NO,BENIGN
9,51,NO,BENIGN
6,31,NO,BENIGN
0,106,NO,BENIGN
0,9,NO,BENIGN
6,405,NO,BENIGN
5,13,NO,BENIGN
2,45,NO,BENIGN
1,79,NO,BENIGN
3,180,NO,BENIGN
0,39,NO,BENIGN
1,301,NO,BENIGN
5,223,NO,BENIGN
0,6,NO,BENIGN
0,39,NO,BENIGN
0,168,NO,BENIGN
0,226,NO,BENIGN
0,25,NO,BENIGN
2,36,NO,BENIGN
0,231,NO,BENIGN
0,157,NO,BENIGN
2,9,NO,BENIGN
5,3,NO,BENIGN
4,61,NO,BENIGN
48,31,NO,BENIGN
7,405,NO,BENIGN
20,142,NO,BENIGN
6,44,NO,BENIGN
0,265,NO,BENIGN
2,157,NO,DELETERIOUS
0,310,NO,DELETERIOUS
0,250,NO,DELETERIOUS
0,138,NO,DELETERIOUS
0,183,NO,DELETERIOUS
4,99,NO,DELETERIOUS
3,103,NO,DELETERIOUS
0,426,NO,DELETERIOUS
0,610,NO,DELETERIOUS
0,66,NO,DELETERIOUS
4,363,NO,DELETERIOUS
4,52,NO,DELETERIOUS
0,58,NO,DELETERIOUS
0,300,NO,DELETERIOUS
2,283,NO,DELETERIOUS
3,175,NO,DELETERIOUS
1,85,NO,DELETERIOUS
2,440,NO,DELETERIOUS
0,42,NO,DELETERIOUS
0,263,NO,DELETERIOUS
2,88,NO,DELETERIOUS
8,6,NO,DELETERIOUS
2,98,NO,DELETERIOUS
0,313,NO,DELETERIOUS
4,324,NO,DELETERIOUS
0,108,NO,DELETERIOUS
0,18,NO,DELETERIOUS
0,168,NO,DELETERIOUS
1,201,NO,DELETERIOUS
1,15,NO,DELETERIOUS
0,22,NO,DELETERIOUS
3,169,NO,DELETERIOUS
0,76,NO,DELETERIOUS
1,40,NO,DELETERIOUS
0,28,NO,DELETERIOUS
1,40,NO,DELETERIOUS
2,13,NO,DELETERIOUS
6,61,NO,DELETERIOUS
7,34,NO,DELETERIOUS
0,82,NO,DELETERIOUS
1,201,NO,DELETERIOUS
0,58,NO,DELETERIOUS
0,607,NO,DELETERIOUS
0,270,NO,DELETERIOUS
2,92,NO,DELETERIOUS
1,675,NO,DELETERIOUS
0,87,NO,DELETERIOUS
2,234,NO,DELETERIOUS
1,96,NO,DELETERIOUS
0,622,NO,DELETERIOUS
1,100,NO,DELETERIOUS
4,277,NO,DELETERIOUS
3,124,NO,DELETERIOUS
4,84,NO,DELETERIOUS
1,24,NO,DELETERIOUS
4,76,NO,DELETERIOUS
2,76,NO,DELETERIOUS
0,18,NO,DELETERIOUS
4,184,NO,DELETERIOUS
13,167,NO,DELETERIOUS
0,85,NO,DELETERIOUS
0,77,NO,DELETERIOUS
1,167,NO,DELETERIOUS
0,40,NO,DELETERIOUS
3,19,NO,DELETERIOUS
1,16,NO,DELETERIOUS
1,129,NO,DELETERIOUS
5,44,NO,DELETERIOUS
1,118,NO,DELETERIOUS
0,76,NO,DELETERIOUS
0,322,NO,DELETERIOUS
0,48,NO,DELETERIOUS
0,80,NO,DELETERIOUS
0,81,NO,DELETERIOUS
1,262,NO,DELETERIOUS
1,283,NO,DELETERIOUS
1,157,NO,DELETERIOUS
7,157,NO,DELETERIOUS
5,124,NO,DELETERIOUS
0,42,NO,DELETERIOUS
1,697,NO,DELETERIOUS
9,150,NO,DELETERIOUS
1,277,NO,DELETERIOUS
9,798,NO,DELETERIOUS
1,10,NO,DELETERIOUS
0,181,NO,DELETERIOUS
0,40,NO,DELETERIOUS
0,189,NO,DELETERIOUS
8,223,NO,DELETERIOUS
0,99,NO,DELETERIOUS
1,52,NO,DELETERIOUS
3,26,NO,DELETERIOUS
0,367,NO,DELETERIOUS
5,87,NO,DELETERIOUS
3,57,NO,DELETERIOUS
1,96,NO,DELETERIOUS
9,18,NO,DELETERIOUS
2,204,NO,DELETERIOUS
0,9,NO,DELETERIOUS
0,205,NO,DELETERIOUS
0,144,NO,DELETERIOUS
4,278,NO,DELETERIOUS
7,111,NO,DELETERIOUS
2,169,NO,DELETERIOUS
1,136,NO,DELETERIOUS
1,910,NO,DELETERIOUS
3,52,NO,DELETERIOUS
1,51,NO,DELETERIOUS
0,121,NO,DELETERIOUS
0,128,NO,DELETERIOUS
2,79,NO,DELETERIOUS
1,44,NO,DELETERIOUS
0,31,NO,DELETERIOUS
3,240,NO,DELETERIOUS
2,169,NO,DELETERIOUS
0,46,NO,DELETERIOUS
0,338,NO,DELETERIOUS
0,96,NO,DELETERIOUS
0,94,NO,DELETERIOUS
2,283,NO,DELETERIOUS
1,618,NO,DELETERIOUS
0,96,NO,DELETERIOUS
0,183,NO,DELETERIOUS
0,112,NO,DELETERIOUS
5,187,NO,DELETERIOUS
0,174,NO,DELETERIOUS
0,192,NO,DELETERIOUS
4,156,NO,DELETERIOUS
0,54,NO,DELETERIOUS
0,171,NO,DELETERIOUS
4,145,NO,DELETERIOUS
2,48,NO,DELETERIOUS
4,109,NO,DELETERIOUS
0,205,NO,DELETERIOUS
0,192,NO,DELETERIOUS
1,40,NO,DELETERIOUS
3,280,NO,DELETERIOUS
0,595,NO,DELETERIOUS
0,86,NO,DELETERIOUS
0,193,NO,DELETERIOUS
0,115,NO,DELETERIOUS
1,81,NO,DELETERIOUS
1,24,NO,DELETERIOUS
0,949,NO,DELETERIOUS
0,33,NO,DELETERIOUS
4,395,NO,DELETERIOUS
3,220,NO,DELETERIOUS
0,153,NO,DELETERIOUS
2,25,NO,DELETERIOUS
4,15,NO,DELETERIOUS
1,43,NO,DELETERIOUS
7,120,NO,DELETERIOUS
0,41,NO,DELETERIOUS
1,88,NO,DELETERIOUS
0,126,NO,DELETERIOUS
0,153,NO,DELETERIOUS
0,81,NO,DELETERIOUS
1,682,NO,DELETERIOUS
3,111,NO,DELETERIOUS
0,529,NO,DELETERIOUS
0,100,NO,DELETERIOUS
16,93,NO,DELETERIOUS
1,127,NO,DELETERIOUS
0,46,NO,DELETERIOUS
0,96,NO,DELETERIOUS
0,167,NO,DELETERIOUS
47,66,NO,DELETERIOUS
0,99,NO,DELETERIOUS
0,46,NO,DELETERIOUS
3,92,NO,DELETERIOUS
3,21,NO,DELETERIOUS
0,610,NO,DELETERIOUS
0,15,NO,DELETERIOUS
0,618,NO,DELETERIOUS
6,223,NO,DELETERIOUS
0,59,NO,DELETERIOUS
0,970,NO,DELETERIOUS
1,16,NO,DELETERIOUS
0,198,NO,DELETERIOUS
0,310,NO,DELETERIOUS
0,313,NO,DELETERIOUS
0,6,NO,DELETERIOUS
6,358,NO,DELETERIOUS
6,34,NO,DELETERIOUS
0,84,NO,DELETERIOUS
3,41,NO,DELETERIOUS
