@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,8-9,11,14'

@attribute NMETS_5_UTR numeric
@attribute CONSERVED_METS_IN_5_UTR numeric
@attribute CDS_COORDS {'[1, 1]','[2, 2]','[3, 3]'}
@attribute MET_POSITION numeric
@attribute READING_FRAME_STATUS {Lost,Maintained}
@attribute PREMATURE_STOP_CODON {'',NO,YES}
@attribute CLASS {BENIGN,DELETERIOUS}

@data
0,0,'[1, 1]',250,Lost,YES,BENIGN
1,0,'[3, 3]',57,Maintained,NO,BENIGN
2,0,'[2, 2]',390,Maintained,NO,BENIGN
1,1,'[1, 1]',9,Maintained,NO,BENIGN
0,0,'[1, 1]',79,Lost,YES,BENIGN
0,0,'[2, 2]',0,Lost,NO,BENIGN
5,1,'[3, 3]',384,Maintained,NO,BENIGN
0,0,'[2, 2]',410,Lost,YES,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
0,0,'[2, 2]',265,Lost,YES,BENIGN
0,0,'[2, 2]',667,Lost,YES,BENIGN
48,17,'[1, 1]',31,Lost,YES,BENIGN
2,0,'[2, 2]',9,Maintained,NO,BENIGN
30,8,'[3, 3]',604,Lost,YES,BENIGN
6,0,'[1, 1]',405,Maintained,NO,BENIGN
5,0,'[2, 2]',13,Lost,YES,BENIGN
7,3,'[1, 1]',405,Maintained,NO,BENIGN
6,0,'[1, 1]',405,Maintained,NO,BENIGN
0,0,'[2, 2]',136,Lost,YES,BENIGN
3,1,'[1, 1]',235,Lost,YES,BENIGN
5,0,'[2, 2]',13,Lost,YES,BENIGN
0,0,'[2, 2]',30,Maintained,NO,BENIGN
0,0,'[2, 2]',126,Maintained,NO,BENIGN
0,0,'[2, 2]',39,Maintained,NO,BENIGN
3,1,'[3, 3]',6,Maintained,NO,BENIGN
0,0,'[2, 2]',55,Lost,YES,BENIGN
0,0,'[2, 2]',7,Lost,YES,BENIGN
6,4,'[2, 2]',211,Lost,YES,BENIGN
0,0,'[2, 2]',81,Maintained,NO,BENIGN
0,0,'[1, 1]',62,Lost,YES,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
1,0,'[3, 3]',57,Maintained,NO,BENIGN
0,0,'[2, 2]',333,Maintained,NO,BENIGN
0,0,'[2, 2]',157,Lost,YES,BENIGN
0,0,'[3, 3]',3,Maintained,NO,BENIGN
14,3,'[3, 3]',3,Maintained,NO,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
5,2,'[1, 1]',199,Lost,YES,BENIGN
1,0,'[1, 1]',99,Maintained,NO,BENIGN
0,0,'[1, 1]',51,Maintained,NO,BENIGN
0,0,'[2, 2]',39,Maintained,NO,BENIGN
0,0,'[2, 2]',157,Lost,YES,BENIGN
4,0,'[2, 2]',121,Lost,YES,BENIGN
1,0,'[2, 2]',259,Lost,YES,BENIGN
2,1,'[1, 1]',132,Maintained,NO,BENIGN
0,0,'[3, 3]',72,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
2,0,'[2, 2]',49,Lost,YES,BENIGN
6,4,'[1, 1]',44,Lost,YES,BENIGN
0,0,'[2, 2]',55,Lost,YES,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
4,2,'[1, 1]',171,Maintained,NO,BENIGN
1,0,'[1, 1]',21,Maintained,NO,BENIGN
20,6,'[1, 1]',142,Lost,YES,BENIGN
0,0,'[1, 1]',393,Maintained,NO,BENIGN
0,0,'[3, 3]',25,Lost,YES,BENIGN
1,0,'[1, 1]',21,Maintained,NO,BENIGN
13,3,'[1, 1]',130,Lost,YES,BENIGN
0,0,'[3, 3]',169,Lost,YES,BENIGN
0,0,'[1, 1]',60,Maintained,NO,BENIGN
1,0,'[1, 1]',83,Lost,YES,BENIGN
6,1,'[2, 2]',28,Lost,YES,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
1,0,'[1, 1]',142,Lost,YES,BENIGN
0,0,'[2, 2]',226,Lost,YES,BENIGN
1,0,'[3, 3]',79,Lost,YES,BENIGN
0,0,'[3, 3]',117,Maintained,NO,BENIGN
0,0,'[1, 1]',562,Lost,YES,BENIGN
9,2,'[1, 1]',62,Lost,YES,BENIGN
11,0,'[1, 1]',16,Lost,YES,BENIGN
0,0,'[1, 1]',60,Maintained,NO,BENIGN
0,0,'[1, 1]',136,Lost,YES,BENIGN
3,2,'[1, 1]',3,Maintained,NO,BENIGN
1,1,'[2, 2]',301,Lost,YES,BENIGN
0,0,'[2, 2]',667,Lost,YES,BENIGN
0,0,'[3, 3]',6,Maintained,NO,BENIGN
12,2,'[1, 1]',117,Maintained,NO,BENIGN
5,0,'[2, 2]',13,Lost,YES,BENIGN
2,0,'[2, 2]',9,Maintained,NO,BENIGN
12,2,'[1, 1]',60,Maintained,NO,BENIGN
10,2,'[1, 1]',21,Maintained,NO,BENIGN
1,0,'[2, 2]',393,Maintained,NO,BENIGN
1,0,'[1, 1]',34,Lost,YES,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
2,0,'[2, 2]',9,Maintained,NO,BENIGN
6,3,'[1, 1]',6,Maintained,NO,BENIGN
0,0,'[2, 2]',81,Maintained,NO,BENIGN
4,3,'[3, 3]',62,Maintained,YES,BENIGN
3,1,'[2, 2]',393,Maintained,NO,BENIGN
7,4,'[2, 2]',211,Lost,YES,BENIGN
0,0,'[3, 3]',193,Lost,YES,BENIGN
9,3,'[2, 2]',762,Maintained,NO,BENIGN
12,2,'[1, 1]',117,Maintained,NO,BENIGN
2,0,'[1, 1]',142,Lost,YES,BENIGN
1,0,'[1, 1]',21,Maintained,NO,BENIGN
7,3,'[1, 1]',405,Maintained,NO,BENIGN
0,0,'[3, 3]',284,Lost,YES,BENIGN
1,1,'[2, 2]',192,Maintained,NO,BENIGN
2,1,'[1, 1]',132,Maintained,NO,BENIGN
6,1,'[1, 1]',31,Lost,YES,BENIGN
0,0,'[2, 2]',30,Maintained,NO,BENIGN
6,3,'[1, 1]',6,Maintained,NO,BENIGN
1,0,'[1, 1]',21,Maintained,NO,BENIGN
0,0,'[2, 2]',9,Maintained,NO,BENIGN
2,1,'[3, 3]',151,Lost,YES,BENIGN
2,0,'[3, 3]',36,Maintained,NO,BENIGN
10,2,'[2, 2]',496,Lost,YES,BENIGN
3,1,'[1, 1]',88,Lost,YES,BENIGN
0,0,'[3, 3]',6,Maintained,NO,BENIGN
1,0,'[1, 1]',21,Maintained,NO,BENIGN
1,1,'[3, 3]',276,Maintained,NO,BENIGN
1,0,'[2, 2]',259,Lost,YES,BENIGN
0,0,'[1, 1]',106,Lost,YES,BENIGN
2,1,'[3, 3]',57,Maintained,NO,BENIGN
10,2,'[2, 2]',120,Maintained,NO,BENIGN
0,0,'[1, 1]',393,Maintained,NO,BENIGN
4,0,'[2, 2]',61,Lost,YES,BENIGN
5,1,'[3, 3]',142,Lost,YES,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
3,2,'[1, 1]',3,Maintained,NO,BENIGN
1,0,'[2, 2]',142,Lost,YES,BENIGN
0,0,'[1, 1]',250,Lost,YES,BENIGN
0,0,'[3, 3]',396,Maintained,NO,BENIGN
1,0,'[3, 3]',396,Maintained,NO,BENIGN
2,0,'[3, 3]',396,Maintained,NO,BENIGN
0,0,'[2, 2]',753,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
1,0,'[3, 3]',79,Lost,YES,BENIGN
5,0,'[1, 1]',223,Lost,YES,BENIGN
3,2,'[1, 1]',180,Maintained,NO,BENIGN
1,0,'[2, 2]',82,Lost,YES,BENIGN
3,0,'[2, 2]',34,Lost,YES,BENIGN
1,0,'[3, 3]',384,Maintained,NO,BENIGN
0,0,'[1, 1]',1096,Lost,YES,BENIGN
3,1,'[1, 1]',307,Lost,YES,BENIGN
0,0,'[1, 1]',60,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
3,0,'[1, 1]',168,Maintained,NO,BENIGN
11,1,'[2, 2]',28,Lost,YES,BENIGN
0,0,'[2, 2]',75,Maintained,NO,BENIGN
2,1,'[2, 2]',31,Lost,YES,BENIGN
2,1,'[3, 3]',151,Lost,YES,BENIGN
9,0,'[2, 2]',349,Lost,YES,BENIGN
0,0,'[2, 2]',81,Maintained,NO,BENIGN
3,1,'[1, 1]',322,Lost,YES,BENIGN
0,0,'[2, 2]',154,Lost,YES,BENIGN
1,1,'[1, 1]',24,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
5,1,'[1, 1]',31,Lost,YES,BENIGN
1,0,'[3, 3]',28,Lost,YES,BENIGN
0,0,'[2, 2]',175,Lost,YES,BENIGN
1,0,'[2, 2]',82,Lost,YES,BENIGN
0,0,'[2, 2]',75,Maintained,NO,BENIGN
6,0,'[3, 3]',7,Lost,YES,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
6,4,'[1, 1]',44,Lost,YES,BENIGN
5,1,'[2, 2]',328,Lost,YES,BENIGN
0,0,'[1, 1]',60,Maintained,NO,BENIGN
10,2,'[1, 1]',21,Maintained,NO,BENIGN
1,1,'[2, 2]',211,Lost,YES,BENIGN
0,0,'[1, 1]',51,Maintained,NO,BENIGN
2,0,'[1, 1]',45,Maintained,NO,BENIGN
15,5,'[3, 3]',115,Lost,YES,BENIGN
2,0,'[2, 2]',138,Maintained,NO,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
2,0,'[1, 1]',130,Lost,YES,BENIGN
0,0,'[2, 2]',175,Lost,YES,BENIGN
0,0,'[1, 1]',143,Lost,YES,BENIGN
9,3,'[1, 1]',51,Maintained,NO,BENIGN
10,2,'[2, 2]',496,Lost,YES,BENIGN
0,0,'[3, 3]',439,Lost,YES,BENIGN
0,0,'[2, 2]',168,Maintained,NO,BENIGN
2,0,'[1, 1]',172,Lost,YES,BENIGN
0,0,'[1, 1]',497,Lost,YES,BENIGN
0,0,'[1, 1]',231,Maintained,NO,BENIGN
0,0,'[3, 3]',154,Lost,YES,BENIGN
5,0,'[2, 2]',3,Maintained,NO,BENIGN
2,0,'[1, 1]',160,Lost,YES,BENIGN
