CHROMOSOME,GENE_ID,GENE_NAME,TRANSCRIPT_ID,VARIATION_NAME,MINOR_ALLELE_FREQUENCY,CODON_CHANGE,AMINOACID_CHANGE,CONSEQUENCE,SO_TERM,SIFT,POLYPHEN
Y,ENSG00000185291,IL3RA,ENST00000331035,rs771754299,-,ATG/TTG,M/L,NON_SYNONYMOUS_CODING,start_lost,deleterious,benign
Y,ENSG00000114374,USP9Y,ENST00000338981,rs751808144,-,ATG/GTG,M/V,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,probably damaging
Y,ENSG00000196433,ASMT,ENST00000381229,rs770129814,-,ATG/ACG,M/T,NON_SYNONYMOUS_CODING,start_lost,deleterious,probably damaging
Y,ENSG00000168939,SPRY3,ENST00000302805,rs751859461,-,ATG/CTG,M/L,NON_SYNONYMOUS_CODING,start_lost,tolerated - low confidence,benign
Y,ENSG00000185291,IL3RA,ENST00000381469,rs771754299,-,ATG/TTG,M/L,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,unknown
Y,ENSG00000196433,ASMT,ENST00000432523,rs751288036,-,GAT/AAT,D/N,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,benign
Y,ENSG00000185291,IL3RA,ENST00000432757,rs771754299,-,ATG/TTG,M/L,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,unknown
Y,ENSG00000196433,ASMT,ENST00000381241,rs770129814,-,ATG/ACG,M/T,NON_SYNONYMOUS_CODING,start_lost,deleterious,probably damaging
Y,ENSG00000169084,DHRSX,ENST00000444280,rs778641933,-,ATG/ATA,M/I,NON_SYNONYMOUS_CODING,start_lost,deleterious,possibly damaging
Y,ENSG00000169800,RBMY1F,ENST00000303766,rs764987485,-,ATG/GTG,M/V,NON_SYNONYMOUS_CODING,start_lost,deleterious,benign
Y,ENSG00000169084,DHRSX,ENST00000444280,rs371831440,-,ATG/GTG,M/V,NON_SYNONYMOUS_CODING,start_lost,tolerated,benign
Y,ENSG00000196433,ASMT,ENST00000381233,rs770129814,-,ATG/ACG,M/T,NON_SYNONYMOUS_CODING,start_lost,deleterious,probably damaging
Y,ENSG00000185291,IL3RA,ENST00000331035,rs202044381,0.000399361,ATG/ATT,M/I,NON_SYNONYMOUS_CODING,start_lost,deleterious,benign
Y,ENSG00000169800,RBMY1F,ENST00000454978,rs764987485,-,ATG/GTG,M/V,NON_SYNONYMOUS_CODING,start_lost,deleterious,possibly damaging
Y,ENSG00000185291,IL3RA,ENST00000381469,rs202044381,0.000399361,ATG/ATT,M/I,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,unknown
Y,ENSG00000279115,AC006386.1,ENST00000624491,rs377401772,-,ATG/ACG,M/T,NON_SYNONYMOUS_CODING,start_lost,,unknown
Y,ENSG00000002586,CD99,ENST00000381177,rs755148886,-,ACC/AGC,T/S,NMD_TRANSCRIPT-NON_SYNONYMOUS_CODING,NMD_transcript_variant-start_lost,,unknown
Y,ENSG00000169100,SLC25A6,ENST00000381401,rs769169296,-,ATG/ACG,M/T,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,benign
Y,ENSG00000185291,IL3RA,ENST00000432757,rs202044381,0.000399361,ATG/ATT,M/I,NON_SYNONYMOUS_CODING,start_lost,deleterious - low confidence,unknown
Y,ENSG00000198223,CSF2RA,ENST00000501036,rs751159348,-,ATG/ATT,M/I,NON_SYNONYMOUS_CODING,start_lost,deleterious,probably damaging
