@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1,5,8,12,14'

@attribute NMETS_5_UTR numeric
@attribute CDS_COORDS {'[1, 1]','[2, 2]','[3, 3]'}
@attribute MET_POSITION numeric
@attribute STOP_CODON_POSITION numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
3,'[1, 1]',3,4200,BENIGN
9,'[1, 1]',51,861,BENIGN
10,'[2, 2]',120,1245,BENIGN
5,'[2, 2]',328,382,BENIGN
3,'[1, 1]',3,4200,BENIGN
5,'[3, 3]',142,151,BENIGN
12,'[1, 1]',60,417,BENIGN
0,'[1, 1]',60,1848,BENIGN
3,'[2, 2]',393,822,BENIGN
1,'[1, 1]',21,2415,BENIGN
9,'[1, 1]',51,576,BENIGN
3,'[1, 1]',88,106,BENIGN
0,'[2, 2]',157,289,BENIGN
6,'[1, 1]',6,2022,BENIGN
0,'[2, 2]',7,13,BENIGN
2,'[3, 3]',57,1479,BENIGN
0,'[2, 2]',333,1614,BENIGN
0,'[2, 2]',81,1158,BENIGN
1,'[2, 2]',259,331,BENIGN
3,'[1, 1]',168,1023,BENIGN
0,'[2, 2]',81,1014,BENIGN
0,'[2, 2]',126,1755,BENIGN
10,'[2, 2]',496,568,BENIGN
9,'[1, 1]',51,1146,BENIGN
4,'[2, 2]',121,166,BENIGN
3,'[1, 1]',322,337,BENIGN
3,'[1, 1]',235,340,BENIGN
1,'[2, 2]',259,331,BENIGN
1,'[3, 3]',79,85,BENIGN
0,'[2, 2]',9,1281,BENIGN
0,'[2, 2]',0,3297,BENIGN
1,'[3, 3]',28,31,BENIGN
0,'[2, 2]',30,912,BENIGN
1,'[2, 2]',142,181,BENIGN
10,'[1, 1]',21,2112,BENIGN
2,'[1, 1]',172,238,BENIGN
0,'[3, 3]',154,277,BENIGN
6,'[3, 3]',7,76,BENIGN
1,'[1, 1]',21,5331,BENIGN
1,'[3, 3]',276,741,BENIGN
9,'[1, 1]',51,576,BENIGN
3,'[1, 1]',307,343,BENIGN
0,'[1, 1]',250,301,BENIGN
0,'[2, 2]',136,202,BENIGN
3,'[2, 2]',34,199,BENIGN
0,'[1, 1]',60,1692,BENIGN
2,'[3, 3]',396,987,BENIGN
1,'[2, 2]',192,333,BENIGN
12,'[1, 1]',117,2454,BENIGN
15,'[3, 3]',115,157,BENIGN
0,'[3, 3]',193,229,BENIGN
2,'[2, 2]',31,190,BENIGN
6,'[2, 2]',28,70,BENIGN
1,'[1, 1]',24,555,BENIGN
1,'[2, 2]',82,265,BENIGN
0,'[2, 2]',667,790,BENIGN
0,'[3, 3]',396,987,BENIGN
0,'[2, 2]',154,199,BENIGN
1,'[1, 1]',83,122,BENIGN
1,'[3, 3]',57,594,BENIGN
1,'[3, 3]',384,4509,BENIGN
1,'[1, 1]',99,816,BENIGN
1,'[1, 1]',21,3015,BENIGN
6,'[2, 2]',211,478,BENIGN
1,'[1, 1]',21,2244,BENIGN
0,'[1, 1]',60,1887,BENIGN
3,'[3, 3]',6,810,BENIGN
4,'[3, 3]',62,65,BENIGN
0,'[3, 3]',284,395,BENIGN
2,'[2, 2]',49,61,BENIGN
1,'[1, 1]',9,3123,BENIGN
7,'[1, 1]',405,822,BENIGN
0,'[1, 1]',1096,1390,BENIGN
9,'[1, 1]',51,1128,BENIGN
2,'[3, 3]',151,202,BENIGN
0,'[2, 2]',753,807,BENIGN
0,'[3, 3]',117,1704,BENIGN
0,'[2, 2]',175,247,BENIGN
5,'[3, 3]',384,2601,BENIGN
0,'[1, 1]',250,301,BENIGN
0,'[1, 1]',143,359,BENIGN
0,'[2, 2]',667,790,BENIGN
1,'[2, 2]',82,214,BENIGN
5,'[2, 2]',13,28,BENIGN
0,'[1, 1]',562,673,BENIGN
14,'[3, 3]',3,1263,BENIGN
5,'[1, 1]',199,424,BENIGN
0,'[2, 2]',30,912,BENIGN
2,'[3, 3]',151,202,BENIGN
0,'[3, 3]',6,390,BENIGN
0,'[3, 3]',3,1254,BENIGN
2,'[1, 1]',130,133,BENIGN
13,'[1, 1]',130,133,BENIGN
5,'[1, 1]',31,43,BENIGN
10,'[2, 2]',496,568,BENIGN
8,'[1, 1]',76,121,BENIGN
7,'[2, 2]',211,478,BENIGN
1,'[1, 1]',142,169,BENIGN
1,'[3, 3]',57,726,BENIGN
4,'[1, 1]',1395,2010,BENIGN
0,'[2, 2]',9,1281,BENIGN
6,'[1, 1]',6,2022,BENIGN
9,'[1, 1]',51,726,BENIGN
0,'[2, 2]',175,247,BENIGN
10,'[1, 1]',21,2319,BENIGN
1,'[3, 3]',396,987,BENIGN
0,'[2, 2]',81,300,BENIGN
11,'[1, 1]',16,61,BENIGN
1,'[2, 2]',211,478,BENIGN
0,'[2, 2]',9,1281,BENIGN
0,'[1, 1]',60,1731,BENIGN
9,'[1, 1]',51,423,BENIGN
2,'[1, 1]',132,2190,BENIGN
2,'[2, 2]',9,1281,BENIGN
2,'[1, 1]',160,217,BENIGN
0,'[2, 2]',9,1281,BENIGN
5,'[3, 3]',90,609,BENIGN
1,'[1, 1]',34,40,BENIGN
0,'[1, 1]',393,4557,BENIGN
9,'[1, 1]',62,188,BENIGN
3,'[2, 2]',597,768,BENIGN
1,'[2, 2]',393,720,BENIGN
0,'[3, 3]',439,457,BENIGN
12,'[1, 1]',117,2454,BENIGN
2,'[2, 2]',138,414,BENIGN
0,'[1, 1]',136,202,BENIGN
2,'[2, 2]',9,1281,BENIGN
0,'[1, 1]',79,160,BENIGN
9,'[2, 2]',762,2196,BENIGN
0,'[3, 3]',72,1254,BENIGN
2,'[1, 1]',132,492,BENIGN
8,'[3, 3]',184,286,BENIGN
4,'[1, 1]',171,1116,BENIGN
0,'[3, 3]',169,316,BENIGN
9,'[1, 1]',51,1146,BENIGN
0,'[1, 1]',51,708,BENIGN
0,'[2, 2]',75,1488,BENIGN
6,'[1, 1]',44,359,BENIGN
9,'[1, 1]',51,726,BENIGN
9,'[1, 1]',51,861,BENIGN
0,'[1, 1]',497,515,BENIGN
1,'[1, 1]',21,3225,BENIGN
9,'[1, 1]',51,423,BENIGN
2,'[2, 2]',390,1467,BENIGN
6,'[1, 1]',405,822,BENIGN
0,'[1, 1]',393,4557,BENIGN
0,'[2, 2]',55,91,BENIGN
0,'[2, 2]',75,1539,BENIGN
0,'[2, 2]',55,91,BENIGN
5,'[2, 2]',13,28,BENIGN
2,'[1, 1]',142,238,BENIGN
11,'[2, 2]',28,70,BENIGN
0,'[2, 2]',410,425,BENIGN
0,'[2, 2]',9,1281,BENIGN
9,'[2, 2]',349,376,BENIGN
0,'[1, 1]',51,708,BENIGN
30,'[3, 3]',604,832,BENIGN
0,'[1, 1]',62,188,BENIGN
9,'[1, 1]',51,1128,BENIGN
6,'[1, 1]',31,43,BENIGN
0,'[1, 1]',106,148,BENIGN
0,'[2, 2]',9,1281,BENIGN
6,'[1, 1]',405,822,BENIGN
5,'[2, 2]',13,28,BENIGN
2,'[1, 1]',45,984,BENIGN
1,'[3, 3]',79,85,BENIGN
3,'[1, 1]',180,1212,BENIGN
0,'[2, 2]',39,765,BENIGN
1,'[2, 2]',301,310,BENIGN
5,'[1, 1]',223,349,BENIGN
0,'[3, 3]',6,993,BENIGN
0,'[2, 2]',39,765,BENIGN
0,'[2, 2]',168,939,BENIGN
0,'[2, 2]',226,238,BENIGN
0,'[3, 3]',25,34,BENIGN
2,'[3, 3]',36,1068,BENIGN
0,'[1, 1]',231,318,BENIGN
0,'[2, 2]',157,289,BENIGN
2,'[2, 2]',9,1281,BENIGN
5,'[2, 2]',3,2106,BENIGN
4,'[2, 2]',61,148,BENIGN
48,'[1, 1]',31,43,BENIGN
7,'[1, 1]',405,822,BENIGN
20,'[1, 1]',142,238,BENIGN
6,'[1, 1]',44,359,BENIGN
0,'[2, 2]',265,478,BENIGN
2,'[3, 3]',157,382,DELETERIOUS
0,'[1, 1]',310,376,DELETERIOUS
0,'[3, 3]',250,277,DELETERIOUS
0,'[1, 1]',138,5436,DELETERIOUS
0,'[3, 3]',183,945,DELETERIOUS
4,'[3, 3]',99,1452,DELETERIOUS
3,'[1, 1]',103,610,DELETERIOUS
0,'[1, 1]',426,735,DELETERIOUS
0,'[2, 2]',610,718,DELETERIOUS
