@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,12,14'

@attribute LOST_METS_IN_5_UTR numeric
@attribute CONSERVED_METS_NO_STOP_IN_5_UTR numeric
@attribute CDS_COORDS {'[1, 1]','[2, 2]','[3, 3]'}
@attribute MET_POSITION numeric
@attribute READING_FRAME_STATUS {Lost,Maintained}
@attribute STOP_CODON_POSITION numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
1,0,'[1, 1]',3,Maintained,4200,BENIGN
6,0,'[1, 1]',51,Maintained,861,BENIGN
8,0,'[2, 2]',120,Maintained,1245,BENIGN
4,0,'[2, 2]',328,Lost,382,BENIGN
1,0,'[1, 1]',3,Maintained,4200,BENIGN
4,0,'[3, 3]',142,Lost,151,BENIGN
10,0,'[1, 1]',60,Maintained,417,BENIGN
0,0,'[1, 1]',60,Maintained,1848,BENIGN
2,0,'[2, 2]',393,Maintained,822,BENIGN
1,0,'[1, 1]',21,Maintained,2415,BENIGN
6,0,'[1, 1]',51,Maintained,576,BENIGN
2,1,'[1, 1]',88,Lost,106,BENIGN
0,0,'[2, 2]',157,Lost,289,BENIGN
3,0,'[1, 1]',6,Maintained,2022,BENIGN
0,0,'[2, 2]',7,Lost,13,BENIGN
1,0,'[3, 3]',57,Maintained,1479,BENIGN
0,0,'[2, 2]',333,Maintained,1614,BENIGN
0,0,'[2, 2]',81,Maintained,1158,BENIGN
1,0,'[2, 2]',259,Lost,331,BENIGN
3,0,'[1, 1]',168,Maintained,1023,BENIGN
0,0,'[2, 2]',81,Maintained,1014,BENIGN
0,0,'[2, 2]',126,Maintained,1755,BENIGN
8,0,'[2, 2]',496,Lost,568,BENIGN
6,0,'[1, 1]',51,Maintained,1146,BENIGN
4,0,'[2, 2]',121,Lost,166,BENIGN
2,0,'[1, 1]',322,Lost,337,BENIGN
2,0,'[1, 1]',235,Lost,340,BENIGN
1,0,'[2, 2]',259,Lost,331,BENIGN
1,0,'[3, 3]',79,Lost,85,BENIGN
0,0,'[2, 2]',9,Maintained,1281,BENIGN
0,0,'[2, 2]',0,Lost,3297,BENIGN
1,0,'[3, 3]',28,Lost,31,BENIGN
0,0,'[2, 2]',30,Maintained,912,BENIGN
1,0,'[2, 2]',142,Lost,181,BENIGN
8,0,'[1, 1]',21,Maintained,2112,BENIGN
2,0,'[1, 1]',172,Lost,238,BENIGN
0,0,'[3, 3]',154,Lost,277,BENIGN
6,0,'[3, 3]',7,Lost,76,BENIGN
1,0,'[1, 1]',21,Maintained,5331,BENIGN
0,0,'[3, 3]',276,Maintained,741,BENIGN
6,0,'[1, 1]',51,Maintained,576,BENIGN
2,0,'[1, 1]',307,Lost,343,BENIGN
0,0,'[1, 1]',250,Lost,301,BENIGN
0,0,'[2, 2]',136,Lost,202,BENIGN
3,0,'[2, 2]',34,Lost,199,BENIGN
